SaleID,SaleDate,DeliveryDate,ProductNumber,SalesQuantity,PricePerUnit,TotalRevenue,DueDate
100000,2024-02-22 00:00:00 UTC,2024-02-22 00:00:00 UTC,1003,51,24.47,1247.97,2024-02-26
100001,2024-10-17 00:00:00 UTC,2024-10-17 00:00:00 UTC,1010,48,17.85,856.8,2024-10-20
100002,2024-02-07 00:00:00 UTC,2024-02-07 00:00:00 UTC,1002,45,10.83,487.35,2024-02-12
100003,2024-06-29 00:00:00 UTC,2024-06-29 00:00:00 UTC,1003,46,26.12,1201.52,2024-07-01
100004,2024-07-07 00:00:00 UTC,2024-07-07 00:00:00 UTC,1011,80,25.4,2032.0,2024-07-11
100005,2024-04-12 00:00:00 UTC,2024-04-12 00:00:00 UTC,1002,82,11.41,935.62,2024-04-15
100006,2024-02-19 00:00:00 UTC,2024-02-19 00:00:00 UTC,1009,31,23.5,728.5,2024-02-24
100007,2024-12-11 00:00:00 UTC,2024-12-11 00:00:00 UTC,1005,98,28.77,2819.46,2024-12-16
100008,2024-10-14 00:00:00 UTC,2024-10-14 00:00:00 UTC,1006,36,23.93,861.48,2024-10-21
100009,2024-02-03 00:00:00 UTC,2024-02-03 00:00:00 UTC,1006,11,19.07,209.77,2024-02-10
100010,2024-10-09 00:00:00 UTC,2024-10-09 00:00:00 UTC,1006,6,13.49,80.94,2024-10-13
100011,2024-06-08 00:00:00 UTC,2024-06-08 00:00:00 UTC,1012,82,28.18,2310.76,2024-06-10
100012,2024-02-20 00:00:00 UTC,2024-02-20 00:00:00 UTC,1002,38,17.93,681.34,2024-02-23
100013,2024-02-09 00:00:00 UTC,2024-02-09 00:00:00 UTC,1007,35,12.49,437.15,2024-02-14
100014,2024-06-12 00:00:00 UTC,2024-06-12 00:00:00 UTC,1012,53,6.49,343.97,2024-06-15
100015,2024-06-09 00:00:00 UTC,2024-06-09 00:00:00 UTC,1010,81,21.23,1719.63,2024-06-11
100016,2024-09-07 00:00:00 UTC,2024-09-07 00:00:00 UTC,1001,8,9.34,74.72,2024-09-11
100017,2024-06-05 00:00:00 UTC,2024-06-05 00:00:00 UTC,1008,31,26.01,806.31,2024-06-10
100018,2024-03-08 00:00:00 UTC,2024-03-08 00:00:00 UTC,1010,12,20.52,246.24,2024-03-11
100019,2024-06-27 00:00:00 UTC,2024-06-27 00:00:00 UTC,1006,26,9.8,254.8,2024-06-30
100020,2024-07-17 00:00:00 UTC,2024-07-17 00:00:00 UTC,1006,65,25.98,1688.7,2024-07-21
100021,2024-02-14 00:00:00 UTC,2024-02-14 00:00:00 UTC,1008,37,6.52,241.24,2024-02-20
100022,2024-07-03 00:00:00 UTC,2024-07-03 00:00:00 UTC,1009,54,16.38,884.52,2024-07-10
100023,2024-02-06 00:00:00 UTC,2024-02-06 00:00:00 UTC,1010,45,5.55,249.75,2024-02-12
100024,2024-01-03 00:00:00 UTC,2024-01-03 00:00:00 UTC,1008,21,29.84,626.64,2024-01-09
100025,2024-07-19 00:00:00 UTC,2024-07-19 00:00:00 UTC,1011,60,27.65,1659.0,2024-07-25
100026,2024-01-20 00:00:00 UTC,2024-01-20 00:00:00 UTC,1004,49,15.72,770.28,2024-01-25
100027,2024-10-26 00:00:00 UTC,2024-10-26 00:00:00 UTC,1011,47,9.99,469.53,2024-11-02
100028,2024-05-25 00:00:00 UTC,2024-05-25 00:00:00 UTC,1005,54,23.15,1250.1,2024-05-31
100029,2024-10-15 00:00:00 UTC,2024-10-15 00:00:00 UTC,1009,16,21.78,348.48,2024-10-21
100030,2024-09-05 00:00:00 UTC,2024-09-05 00:00:00 UTC,1002,27,14.67,396.09,2024-09-09
100031,2024-06-19 00:00:00 UTC,2024-06-19 00:00:00 UTC,1004,5,6.78,33.9,2024-06-25
100032,2024-03-17 00:00:00 UTC,2024-03-17 00:00:00 UTC,1010,94,6.4,601.6,2024-03-21
100033,2024-02-11 00:00:00 UTC,2024-02-11 00:00:00 UTC,1006,35,20.36,712.6,2024-02-13
100034,2024-07-20 00:00:00 UTC,2024-07-20 00:00:00 UTC,1010,39,6.26,244.14,2024-07-23
100035,2024-07-23 00:00:00 UTC,2024-07-23 00:00:00 UTC,1010,88,29.88,2629.44,2024-07-29
100036,2024-03-08 00:00:00 UTC,2024-03-08 00:00:00 UTC,1007,23,23.64,543.72,2024-03-10
100037,2024-10-26 00:00:00 UTC,2024-10-26 00:00:00 UTC,1005,4,20.72,82.88,2024-10-28
100038,2024-04-07 00:00:00 UTC,2024-04-07 00:00:00 UTC,1004,53,8.17,433.01,2024-04-13
100039,2024-12-04 00:00:00 UTC,2024-12-04 00:00:00 UTC,1008,51,29.08,1483.08,2024-12-06
100040,2024-03-29 00:00:00 UTC,2024-03-29 00:00:00 UTC,1011,21,10.38,217.98,2024-04-05
100041,2024-05-04 00:00:00 UTC,2024-05-04 00:00:00 UTC,1012,86,6.14,528.04,2024-05-08
100042,2024-09-10 00:00:00 UTC,2024-09-10 00:00:00 UTC,1007,14,21.2,296.8,2024-09-15
100043,2024-11-14 00:00:00 UTC,2024-11-14 00:00:00 UTC,1004,38,17.64,670.32,2024-11-18
100044,2024-02-25 00:00:00 UTC,2024-02-25 00:00:00 UTC,1005,19,7.39,140.41,2024-02-28
100045,2024-12-07 00:00:00 UTC,2024-12-07 00:00:00 UTC,1012,41,28.52,1169.32,2024-12-12
100046,2024-08-17 00:00:00 UTC,2024-08-17 00:00:00 UTC,1009,22,24.52,539.44,2024-08-20
100047,2024-05-13 00:00:00 UTC,2024-05-13 00:00:00 UTC,1002,85,26.34,2238.9,2024-05-20
100048,2024-04-26 00:00:00 UTC,2024-04-26 00:00:00 UTC,1009,51,7.81,398.31,2024-05-01
100049,2024-03-14 00:00:00 UTC,2024-03-14 00:00:00 UTC,1007,49,14.8,725.2,2024-03-21
100050,2024-10-21 00:00:00 UTC,2024-10-21 00:00:00 UTC,1007,54,26.61,1436.94,2024-10-27
100051,2024-02-10 00:00:00 UTC,2024-02-10 00:00:00 UTC,1010,56,18.82,1053.92,2024-02-13
100052,2024-01-30 00:00:00 UTC,2024-01-30 00:00:00 UTC,1008,64,8.71,557.44,2024-02-04
100053,2024-04-02 00:00:00 UTC,2024-04-02 00:00:00 UTC,1002,3,9.76,29.28,2024-04-06
100054,2024-05-20 00:00:00 UTC,2024-05-20 00:00:00 UTC,1008,76,18.91,1437.16,2024-05-24
100055,2024-05-11 00:00:00 UTC,2024-05-11 00:00:00 UTC,1002,5,29.75,148.75,2024-05-14
100056,2024-08-13 00:00:00 UTC,2024-08-13 00:00:00 UTC,1004,19,28.04,532.76,2024-08-15
100057,2024-08-01 00:00:00 UTC,2024-08-01 00:00:00 UTC,1008,40,10.54,421.6,2024-08-08
100058,2024-02-10 00:00:00 UTC,2024-02-10 00:00:00 UTC,1011,57,9.08,517.56,2024-02-13
100059,2024-01-21 00:00:00 UTC,2024-01-21 00:00:00 UTC,1009,23,5.3,121.9,2024-01-26
100060,2024-08-29 00:00:00 UTC,2024-08-29 00:00:00 UTC,1006,1,6.42,6.42,2024-09-05
100061,2024-03-31 00:00:00 UTC,2024-03-31 00:00:00 UTC,1001,36,6.45,232.2,2024-04-02
100062,2024-03-02 00:00:00 UTC,2024-03-02 00:00:00 UTC,1005,97,13.32,1292.04,2024-03-06
100063,2024-08-26 00:00:00 UTC,2024-08-26 00:00:00 UTC,1002,84,13.08,1098.72,2024-09-01
100064,2024-03-06 00:00:00 UTC,2024-03-06 00:00:00 UTC,1004,87,5.49,477.63,2024-03-10
100065,2024-12-18 00:00:00 UTC,2024-12-18 00:00:00 UTC,1012,40,19.74,789.6,2024-12-21
100066,2024-05-11 00:00:00 UTC,2024-05-11 00:00:00 UTC,1012,80,14.26,1140.8,2024-05-17
100067,2024-02-26 00:00:00 UTC,2024-02-26 00:00:00 UTC,1009,60,17.35,1041.0,2024-02-29
100068,2024-11-19 00:00:00 UTC,2024-11-19 00:00:00 UTC,1006,62,13.63,845.06,2024-11-24
100069,2024-03-16 00:00:00 UTC,2024-03-16 00:00:00 UTC,1003,18,9.65,173.7,2024-03-21
100070,2024-03-13 00:00:00 UTC,2024-03-13 00:00:00 UTC,1006,28,21.87,612.36,2024-03-17
100071,2024-04-21 00:00:00 UTC,2024-04-21 00:00:00 UTC,1003,5,17.29,86.45,2024-04-26
100072,2024-08-11 00:00:00 UTC,2024-08-11 00:00:00 UTC,1004,28,19.13,535.64,2024-08-14
100073,2024-12-03 00:00:00 UTC,2024-12-03 00:00:00 UTC,1008,43,10.64,457.52,2024-12-07
100074,2024-02-10 00:00:00 UTC,2024-02-10 00:00:00 UTC,1012,1,17.81,17.81,2024-02-16
100075,2024-10-25 00:00:00 UTC,2024-10-25 00:00:00 UTC,1001,84,6.79,570.36,2024-10-30
